
Devices
1000
,,Imported Bertec Force Plate #1 - Force,,,Imported Bertec Force Plate #1 - Moment,,,Imported Bertec Force Plate #1 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
35,2,0,0,0,0,0,0,202,300,0
35,3,0,0,0,0,0,0,202,300,0
36,0,0,0,0,0,0,0,202,300,0
36,1,0,0,0,0,0,0,202,300,0
36,2,0,0,0,0,0,0,202,300,0
36,3,0,0,0,0,0,0,202,300,0
37,0,0,0,0,0,0,0,202,300,0
37,1,0,0,0,0,0,0,202,300,0
37,2,0,0,0,0,0,0,202,300,0
37,3,0,0,0,0,0,0,202,300,0
38,0,0,0,0,0,0,0,202,300,0
38,1,0,0,0,0,0,0,202,300,0
38,2,0,0,0,0,0,0,202,300,0
38,3,0,0,0,0,0,0,202,300,0
39,0,0,0,0,0,0,0,202,300,0
39,1,0,0,0,0,0,0,202,300,0
39,2,0,0,0,0,0,0,202,300,0
39,3,0,0,0,0,0,0,202,300,0
40,0,0,0,0,0,0,0,202,300,0
40,1,0,0,0,0,0,0,202,300,0
40,2,0,0,0,0,0,0,202,300,0
40,3,0,0,0,0,0,0,202,300,0
41,0,0,0,0,0,0,0,202,300,0
41,1,0,0,0,0,0,0,202,300,0
41,2,0,0,0,0,0,0,202,300,0
41,3,0,0,0,0,0,0,202,300,0
42,0,0,0,0,0,0,0,202,300,0
42,1,0,0,0,0,0,0,202,300,0
42,2,0,0,0,0,0,0,202,300,0
42,3,0,0,0,0,0,0,202,300,0
43,0,0,0,0,0,0,0,202,300,0
43,1,0,0,0,0,0,0,202,300,0
43,2,0,0,0,0,0,0,202,300,0
43,3,0,0,0,0,0,0,202,300,0
44,0,0,0,0,0,0,0,202,300,0
44,1,0,0,0,0,0,0,202,300,0
44,2,0,0,0,0,0,0,202,300,0
44,3,0,0,0,0,0,0,202,300,0
45,0,0,0,0,0,0,0,202,300,0
45,1,0,0,0,0,0,0,202,300,0
45,2,0,0,0,0,0,0,202,300,0
45,3,0,0,0,0,0,0,202,300,0
46,0,0,0,0,0,0,0,202,300,0
46,1,0,0,0,0,0,0,202,300,0
46,2,0,0,0,0,0,0,202,300,0
46,3,0,0,0,0,0,0,202,300,0
47,0,0,0,0,0,0,0,202,300,0
47,1,0,0,0,0,0,0,202,300,0
47,2,0,0,0,0,0,0,202,300,0
47,3,0,0,0,0,0,0,202,300,0
48,0,0,0,0,0,0,0,202,300,0
48,1,0,0,0,0,0,0,202,300,0
48,2,0,0,0,0,0,0,202,300,0
48,3,0,0,0,0,0,0,202,300,0
49,0,0,0,0,0,0,0,202,300,0
49,1,0,0,0,0,0,0,202,300,0
49,2,0,0,0,0,0,0,202,300,0
49,3,0,0,0,0,0,0,202,300,0
50,0,0,0,0,0,0,0,202,300,0
50,1,0,0,0,0,0,0,202,300,0
50,2,0,0,0,0,0,0,202,300,0
50,3,0,0,0,0,0,0,202,300,0
51,0,0,0,0,0,0,0,202,300,0
51,1,0,0,0,0,0,0,202,300,0
51,2,0,0,0,0,0,0,202,300,0
51,3,0,0,0,0,0,0,202,300,0
52,0,0,0,0,0,0,0,202,300,0
52,1,0,0,0,0,0,0,202,300,0
52,2,0,0,0,0,0,0,202,300,0
52,3,0,0,0,0,0,0,202,300,0
53,0,0,0,0,0,0,0,202,300,0
53,1,0,0,0,0,0,0,202,300,0
53,2,0,0,0,0,0,0,202,300,0
53,3,0,0,0,0,0,0,202,300,0
54,0,0,0,0,0,0,0,202,300,0
54,1,0,0,0,0,0,0,202,300,0
54,2,0,0,0,0,0,0,202,300,0
54,3,0,0,0,0,0,0,202,300,0
55,0,0,0,0,0,0,0,202,300,0
55,1,0,0,0,0,0,0,202,300,0
55,2,0,0,0,0,0,0,202,300,0
55,3,0,0,0,0,0,0,202,300,0
56,0,0,0,0,0,0,0,202,300,0
56,1,0,0,0,0,0,0,202,300,0
56,2,0,0,0,0,0,0,202,300,0
56,3,0,0,0,0,0,0,202,300,0
57,0,0,0,0,0,0,0,202,300,0
57,1,0,0,0,0,0,0,202,300,0
57,2,0,0,0,0,0,0,202,300,0
57,3,0,0,0,0,0,0,202,300,0
58,0,0,0,0,0,0,0,202,300,0
58,1,0,0,0,0,0,0,202,300,0
58,2,0,0,0,0,0,0,202,300,0
58,3,0,0,0,0,0,0,202,300,0
59,0,0,0,0,0,0,0,202,300,0
59,1,0,0,0,0,0,0,202,300,0
59,2,0,0,0,0,0,0,202,300,0
59,3,0,0,0,0,0,0,202,300,0
60,0,0,0,0,0,0,0,202,300,0
60,1,0,0,0,0,0,0,202,300,0
60,2,0,0,0,0,0,0,202,300,0
60,3,0,0,0,0,0,0,202,300,0
61,0,0,0,0,0,0,0,202,300,0
61,1,0,0,0,0,0,0,202,300,0
61,2,0,0,0,0,0,0,202,300,0
61,3,0,0,0,0,0,0,202,300,0
62,0,0,0,0,0,0,0,202,300,0
62,1,0,0,0,0,0,0,202,300,0
62,2,0,0,0,0,0,0,202,300,0
62,3,0,0,0,0,0,0,202,300,0
63,0,0,0,0,0,0,0,202,300,0
63,1,0,0,0,0,0,0,202,300,0
63,2,0,0,0,0,0,0,202,300,0
63,3,0,0,0,0,0,0,202,300,0
64,0,0,0,0,0,0,0,202,300,0
64,1,0,0,0,0,0,0,202,300,0
64,2,0,0,0,0,0,0,202,300,0
64,3,0,0,0,0,0,0,202,300,0
65,0,0,0,0,0,0,0,202,300,0
65,1,0,0,0,0,0,0,202,300,0
65,2,0,0,0,0,0,0,202,300,0
65,3,0,0,0,0,0,0,202,300,0
66,0,0,0,0,0,0,0,202,300,0
66,1,0,0,0,0,0,0,202,300,0
66,2,0,0,0,0,0,0,202,300,0
66,3,0,0,0,0,0,0,202,300,0
67,0,0,0,0,0,0,0,202,300,0
67,1,0,0,0,0,0,0,202,300,0
67,2,0,0,0,0,0,0,202,300,0
67,3,0,0,0,0,0,0,202,300,0
68,0,0,0,0,0,0,0,202,300,0
68,1,0,0,0,0,0,0,202,300,0
68,2,0,0,0,0,0,0,202,300,0
68,3,0,0,0,0,0,0,202,300,0
69,0,0,0,0,0,0,0,202,300,0
69,1,0,0,0,0,0,0,202,300,0
69,2,0,0,0,0,0,0,202,300,0
69,3,0,0,0,0,0,0,202,300,0
70,0,0,0,0,0,0,0,202,300,0
70,1,0,0,0,0,0,0,202,300,0
70,2,0,0,0,0,0,0,202,300,0
70,3,0,0,0,0,0,0,202,300,0
71,0,0,0,0,0,0,0,202,300,0
71,1,0,0,0,0,0,0,202,300,0
71,2,0,0,0,0,0,0,202,300,0
71,3,0,0,0,0,0,0,202,300,0
72,0,0,0,0,0,0,0,202,300,0
72,1,0,0,0,0,0,0,202,300,0
72,2,0,0,0,0,0,0,202,300,0
72,3,0,0,0,0,0,0,202,300,0
73,0,0,0,0,0,0,0,202,300,0
73,1,0,0,0,0,0,0,202,300,0
73,2,0,0,0,0,0,0,202,300,0
73,3,0,0,0,0,0,0,202,300,0
74,0,0,0,0,0,0,0,202,300,0
74,1,0,0,0,0,0,0,202,300,0
74,2,0,0,0,0,0,0,202,300,0
74,3,0,0,0,0,0,0,202,300,0
75,0,0,0,0,0,0,0,202,300,0
75,1,0,0,0,0,0,0,202,300,0
75,2,0,0,0,0,0,0,202,300,0
75,3,0,0,0,0,0,0,202,300,0
76,0,0,0,0,0,0,0,202,300,0
76,1,0,0,0,0,0,0,202,300,0
76,2,0,0,0,0,0,0,202,300,0
76,3,0,0,0,0,0,0,202,300,0
77,0,0,0,0,0,0,0,202,300,0
77,1,0,0,0,0,0,0,202,300,0
77,2,0,0,0,0,0,0,202,300,0
77,3,0,0,0,0,0,0,202,300,0
78,0,0,0,0,0,0,0,202,300,0
78,1,0,0,0,0,0,0,202,300,0
78,2,0,0,0,0,0,0,202,300,0
78,3,0,0,0,0,0,0,202,300,0
79,0,0,0,0,0,0,0,202,300,0
79,1,0,0,0,0,0,0,202,300,0
79,2,0,0,0,0,0,0,202,300,0
79,3,0,0,0,0,0,0,202,300,0
80,0,0,0,0,0,0,0,202,300,0
80,1,0,0,0,0,0,0,202,300,0
80,2,0,0,0,0,0,0,202,300,0
80,3,0,0,0,0,0,0,202,300,0
81,0,0,0,0,0,0,0,202,300,0
81,1,0,0,0,0,0,0,202,300,0
81,2,0,0,0,0,0,0,202,300,0
81,3,0,0,0,0,0,0,202,300,0
82,0,0,0,0,0,0,0,202,300,0
82,1,0,0,0,0,0,0,202,300,0
82,2,0,0,0,0,0,0,202,300,0
82,3,0,0,0,0,0,0,202,300,0
83,0,0,0,0,0,0,0,202,300,0
83,1,0,0,0,0,0,0,202,300,0
83,2,0,0,0,0,0,0,202,300,0
83,3,0,0,0,0,0,0,202,300,0
84,0,0,0,0,0,0,0,202,300,0
84,1,0,0,0,0,0,0,202,300,0
84,2,0,0,0,0,0,0,202,300,0
84,3,0,0,0,0,0,0,202,300,0
85,0,0,0,0,0,0,0,202,300,0
85,1,0,0,0,0,0,0,202,300,0
85,2,0,0,0,0,0,0,202,300,0
85,3,0,0,0,0,0,0,202,300,0
86,0,0,0,0,0,0,0,202,300,0
86,1,0,0,0,0,0,0,202,300,0
86,2,0,0,0,0,0,0,202,300,0
86,3,0,0,0,0,0,0,202,300,0
87,0,0,0,0,0,0,0,202,300,0
87,1,0,0,0,0,0,0,202,300,0
87,2,0,0,0,0,0,0,202,300,0
87,3,0,0,0,0,0,0,202,300,0
